BAD,CLAGE,CLNO,DEBTINC,DELINQ,DEROG,JOB,LOAN,MORTDUE,NINQ,REASON,VALUE,YOJ
0,81.3490651,15,40.70530876,0,1,Other,4500,66127,0,HomeImp,79087,4
0,,,25.2272529,,,,4500,,,,77182,
1,170.3666667,19,,0,0,Other,4500,39000,1,HomeImp,66000,1
0,118.7604101,14,41.42111052,0,0,Other,4500,71082,0,HomeImp,79247,4
0,,0,11.6527388,0,0,,4500,,0,HomeImp,49044,0
1,222.6,13,,,,Other,4500,57000,1,HomeImp,,5
1,122.6,22,,1,0,Mgr,4500,34184,2,HomeImp,46000,3.5
1,125.8,34,,4,0,ProfExe,4500,66517,0,DebtCon,87000,10
0,86.16666667,18,,0,0,Other,4500,45500,0,HomeImp,50000,6
1,203.8666667,20,,0,2,ProfExe,4500,118000,1,HomeImp,146870,4.5
1,80.1,10,,3,2,Other,4500,90000,3,HomeImp,105800,6
0,142.8243915,24,35.22699719,0,0,Mgr,4700,67913,0,,97205,2
0,283.9595381,5,36.47547328,0,2,Other,4700,71855,0,HomeImp,88566,2
0,54.13647743,15,34.41650781,0,,,4700,53918,,DebtCon,59511,6
1,61.8,17,,0,0,ProfExe,4700,49100,2,HomeImp,58238,0.1
0,182.2483316,27,29.20902258,0,0,ProfExe,4700,88026,0,HomeImp,115506,6
1,90.46666667,16,,2,1,ProfExe,4700,26900,1,HomeImp,45000,9
0,137.3197248,23,34.27529378,0,0,Mgr,4800,67317,0,,97191,3
0,160.1463113,30,21.58376012,3,0,ProfExe,4800,56067,1,DebtCon,63102,9
0,275.0323948,11,43.71763511,0,0,ProfExe,4800,80482,0,HomeImp,88342,7
0,179.1625747,31,22.54439284,3,0,ProfExe,4900,58688,2,DebtCon,63348,9
0,141.858999,23,37.76961861,0,0,Mgr,4900,65873,0,,90408,2
1,101.7467664,8,33.24315698,0,0,Other,4900,25597,0,HomeImp,23031,5
0,112.5734189,15,41.67399636,0,0,Other,4900,67794,0,HomeImp,84630,4
1,81.5,13,,0,0,Other,4900,44000,3,HomeImp,59745,10
0,,,,,,,4900,,,HomeImp,28437.5,
0,131.9333333,22,,0,0,Sales,4900,170986,0,DebtCon,245300,
1,61.64250608,14,40.59091002,2,1,Other,4900,65576,1,HomeImp,65774,6
0,183.6356132,30,22.79542355,4,0,ProfExe,4900,57461,0,DebtCon,68494,8
0,,,33.70558774,,,,4900,,,,69706,
0,,,33.35465263,,,,5000,,,HomeImp,34846,
0,65.03296901,16,36.69941492,0,,,5000,47479,,DebtCon,61690,5
0,122.5972226,15,40.61677935,0,0,Other,5000,66839,0,HomeImp,87168,4
0,207.1434813,12,44.10795169,0,0,Self,5000,12457,0,HomeImp,53448,
0,193.6364469,28,25.89731648,0,0,ProfExe,5000,90059,0,HomeImp,113714,7
1,65.7,5,,0,0,Other,5000,22320,1,HomeImp,34900,10
1,61.76666667,8,,0,0,Mgr,5000,40000,2,HomeImp,70500,0.4
1,58.86666667,16,,1,0,Mgr,5000,100882,0,HomeImp,102700,5
1,,,,,,ProfExe,5000,31000,,HomeImp,47350,12
1,100.3,14,,0,0,Office,5000,63125,0,HomeImp,126500,3
1,,,,,,Mgr,5000,100000,,HomeImp,129693.5,13
1,121.9,14,,2,0,Other,5000,,0,HomeImp,132000,17.5
1,54.73333333,8,,0,0,Other,5000,,2,HomeImp,9100,1
1,57,9,,0,0,Other,5000,34200,1,HomeImp,50830,6
1,72.43333333,12,,0,0,Other,5000,,1,HomeImp,71277,10
1,,,,,,Mgr,5000,123000,,HomeImp,157500,9
1,88.7,3,,0,0,Other,5000,16600,1,HomeImp,25250,6
1,285.3333333,6,,1,0,Other,5000,,0,HomeImp,52000,
1,74.63333333,9,,0,0,Other,5000,22700,3,HomeImp,34225,4
1,335.0333333,42,,1,0,Self,5000,6000,3,HomeImp,38575,7
1,,,,,,Other,5000,,,HomeImp,74500,19
1,,,,,,Other,5000,,,HomeImp,94119,19
0,125.9666667,10,,0,0,Other,5000,73126,2,DebtCon,87500,1
0,300.3666667,24,,1,0,Mgr,5000,72517,1,DebtCon,86250,19
0,182.6333333,13,,0,0,ProfExe,5000,26037,0,HomeImp,35000,12
0,179.8333333,19,,,,Office,5000,39000,,HomeImp,50340,10
0,276.9666667,14,,0,0,Other,5000,,1,DebtCon,26550,1.7
0,,,,,,,5000,70470,,DebtCon,77908,5
0,266.8,26,,0,0,Other,5000,,1,HomeImp,36375,3
0,,,,,,ProfExe,5000,74225,,DebtCon,89640,0.3
0,51.76666667,4,,0,0,Office,5000,,0,HomeImp,65400,1.5
1,107.1333333,5,,3,0,Other,5000,,10,HomeImp,37500,
0,51.76666667,14,,0,0,ProfExe,5000,78565,3,DebtCon,98500,24
0,219.1333333,18,,0,0,ProfExe,5000,59900,1,DebtCon,80800,15
1,228.3,24,,6,3,Office,5000,10171,0,HomeImp,26809,13
1,133.9,34,,0,0,Mgr,5000,78893,1,HomeImp,82600,16
1,122.7666667,28,,3,5,Mgr,5000,85165,5,HomeImp,107940,6
1,131.8666667,30,,0,0,ProfExe,5000,68000,0,DebtCon,75616,0.1
1,82.13333333,13,,1,0,ProfExe,5000,71571,0,DebtCon,85100,1.4
1,222.2,6,,0,1,Other,5000,28000,1,DebtCon,36810,2
1,163.3666667,16,,2,3,Other,5000,40000,1,HomeImp,32480,8
1,144.0666667,17,,2,1,ProfExe,5000,81748,2,DebtCon,,14
0,178.6925087,19,26.44819746,,,Office,5000,44674,,HomeImp,59375,10
1,97.1,23,,0,0,Other,5000,61999,0,HomeImp,75021.3,5
0,120.6750632,10,37.51270841,0,0,Other,5000,80153,2,DebtCon,97275,1
0,148.7204047,23,36.66927861,0,0,Mgr,5000,68739,0,,93435,3
0,69.1074656,15,35.02507297,1,,,5000,51209,,DebtCon,55320,5
1,148.3406455,14,46.489874,2,1,Other,5000,46696,0,HomeImp,85202,2
0,257.6522064,26,40.95258888,0,0,Other,5000,,0,HomeImp,46281,2
0,125.1306256,14,42.18353867,0,0,Other,5000,66435,0,HomeImp,82819,2
0,127.4988134,22,40.30825936,0,0,Sales,5100,179725,0,DebtCon,251962,
0,177.9582551,28,26.25797013,0,0,ProfExe,5100,85583,1,HomeImp,115341,7
0,273.8817052,6,39.85214652,0,1,Other,5100,72891,0,HomeImp,80691,1
1,69,17,,0,0,Other,5100,30755,0,HomeImp,46735,10
0,258.7892976,14,26.72234334,0,0,Other,5100,,0,DebtCon,26715,1
0,181.6630402,28,25.44475915,0,0,ProfExe,5100,87258,0,HomeImp,121382,6
0,277.9445608,14,23.64469128,0,0,Other,5100,,1,DebtCon,28291,2
1,21.2,2,,0,0,Other,5100,9900,0,HomeImp,30451,11
0,417.6333333,50,,,,Other,5100,93000,2,HomeImp,116875,10
1,86.23333333,13,,2,1,Other,5100,15500,2,DebtCon,34000,0
1,157.8598021,36,25.65074122,0,1,Sales,5100,129319,0,HomeImp,141875,7
0,290.034108,6,38.76698507,0,2,Other,5100,66834,0,HomeImp,87361,0
0,125.7874001,10,34.44607922,0,0,Other,5100,73882,1,DebtCon,96031,0
0,121.0759726,9,36.40172955,0,0,Other,5100,74071,2,DebtCon,97064,0
0,108.0725908,15,43.29013982,0,0,Other,5100,62702,0,HomeImp,79784,2
0,266.8134646,14,23.79740106,0,0,Other,5200,,1,DebtCon,36425,2
0,119.7,25,,1,0,Other,5200,67000,0,HomeImp,77000,9
0,184.2966873,19,24.41476318,,,Office,5200,43039,,HomeImp,53521,11
0,17.2,7,,0,1,Other,5200,19000,10,DebtCon,26000,0
1,81.1,2,,1,0,Other,5200,,1,DebtCon,9500,1
0,123.7666667,12,,0,0,Office,5200,91250,1,HomeImp,110000,24
0,221.1180817,11,42.71209384,0,0,Self,5200,16324,0,HomeImp,45187,
1,157.7710357,13,72.67043331,0,0,Other,5200,40564,1,HomeImp,39527,0
0,,,19.13120118,,,,5300,73698,,DebtCon,84427,4
0,175.3287038,22,40.44257039,0,1,Sales,5300,66987,1,HomeImp,65111,4
1,302.3587095,8,39.1969854,0,0,Other,5300,26908,0,HomeImp,36078,
0,,0,12.04367058,0,0,,5300,,0,HomeImp,49396,0
0,184.7427672,18,27.90612273,,,Office,5300,44993,,HomeImp,50673,7
1,98.33333333,12,,0,1,Mgr,5300,51000,0,HomeImp,64000,10
0,124.1821788,10,34.59906019,0,0,Other,5300,75958,1,DebtCon,91703,0
0,109.9339079,11,35.8385427,0,0,Office,5300,97132,1,HomeImp,117343,22
0,212.8917461,25,38.59149403,1,,Mgr,5300,60826,0,HomeImp,80826,10
0,,,28.42396191,,,ProfExe,5300,83552,,DebtCon,96809,0
0,208.162714,20,19.7621137,0,0,Office,5300,47449,0,HomeImp,63895,19
0,197.2419573,20,19.35050563,0,0,Office,5300,50934,0,HomeImp,62957,21
0,69.54243011,16,36.4802363,0,,,5400,53429,,DebtCon,64505,5
0,40.709849,4,37.84877104,0,0,Office,5400,,0,HomeImp,65474,1
0,189.0343046,18,24.70113626,,,Office,5400,47844,,HomeImp,52040,8
1,95.6,22,,0,0,Sales,5400,45509,0,DebtCon,57453,4
1,199.9,20,,1,0,ProfExe,5400,59720,1,HomeImp,63450,5
0,185.0763473,28,26.3548893,0,0,ProfExe,5400,86922,1,HomeImp,119846,5
0,136.6329442,30,32.05002349,0,0,Sales,5400,68625,0,DebtCon,82304,2
0,122.9402886,15,44.09232568,0,0,Other,5400,65814,0,HomeImp,85848,4
0,,,23.16374295,,,,5400,,,,75254,
1,102.5,19,,0,0,ProfExe,5400,78300,3,HomeImp,88000,8
0,78.45212577,16,35.763638,0,,,5400,48152,,DebtCon,55760,6
0,116.5919769,24,37.61268272,1,0,Other,5500,70481,0,HomeImp,82446,8
0,,,35.27207374,,,,5500,,,HomeImp,35402,
0,55.55804904,13,31.37554242,0,0,ProfExe,5500,87765,2,DebtCon,101053,22
0,189.2953185,19,20.6541289,0,0,Office,5500,52897,0,HomeImp,65054,20
1,153.9333333,27,,3,0,Other,5500,24700,3,DebtCon,35675,1
1,,,,,,Other,5500,,,HomeImp,43132,
0,216.1333333,30,,0,0,,5500,43486,4,DebtCon,81600,4
1,130.8,14,,2,3,Other,5500,21359,3,DebtCon,30000,7
1,167.3666667,8,,1,0,Mgr,5500,,1,HomeImp,13770,5
0,187.0205188,27,27.64674851,0,0,ProfExe,5500,93051,1,HomeImp,115374,6
0,186.424416,27,28.4175309,0,0,ProfExe,5500,87438,1,HomeImp,116679,6
0,,,20.67931358,,,,5500,78059,,DebtCon,78179,5
0,158.5344979,23,43.40443024,0,2,Sales,5500,72147,0,HomeImp,69918,4
1,136.3206375,13,34.49470897,1,0,Other,5500,40584,0,HomeImp,46645,4
1,82.29426635,2,36.9867441,1,0,Other,5500,,0,HomeImp,12972,1
1,48.995845,10,33.12648397,2,0,Mgr,5500,37368,0,HomeImp,48502,9
0,43.72233695,3,41.45204353,0,0,Office,5500,,0,HomeImp,66251,1
0,150.8658451,22,40.44256779,0,2,Sales,5500,71644,0,HomeImp,72696,4
1,172.2132767,26,32.67664088,0,0,ProfExe,5500,85845,1,DebtCon,122205,5
0,206.0991341,19,18.36954053,0,0,Office,5600,53793,0,HomeImp,66379,22
0,200.418434,17,22.84109285,0,0,ProfExe,5600,69435,1,DebtCon,83489,14
0,180.5630691,13,21.55494966,0,0,ProfExe,5600,29648,0,HomeImp,39907,11
0,91.68377063,24,37.77335098,0,0,Other,5600,76407,0,HomeImp,77485,9
1,204.0666667,11,,1,1,Other,5600,5000,0,HomeImp,66700,31
1,148.1333333,14,,1,1,Other,5600,55160,1,HomeImp,86800,3
0,181.3229899,19,24.65139574,,,Office,5600,41439,,HomeImp,53893,8
0,204.335245,12,42.39776964,0,0,Self,5600,15275,0,HomeImp,47954,
0,117.4995929,12,38.75056267,0,0,Office,5700,100934,0,HomeImp,111496,23
0,,,24.27486528,,,,5700,,,,74685,
0,212.5391151,21,21.25802688,0,0,Office,5700,49514,0,HomeImp,58249,21
0,128.4764515,25,37.85968784,0,0,Other,5700,76948,0,HomeImp,85753,7
0,181.2829568,13,24.33953357,0,0,ProfExe,5700,28127,0,HomeImp,36524,10
0,69.64566047,4,41.18503956,0,0,Office,5700,,0,HomeImp,68591,0
0,21.79935215,6,29.43966424,0,1,Other,5700,26927,10,DebtCon,35461,0
0,210.3474786,30,31.2434087,0,0,,5700,49806,3,DebtCon,82242,3
1,95.9,17,,0,0,Sales,5700,70000,1,DebtCon,84579,0.1
1,177.5,26,,0,0,ProfExe,5700,58400,2,HomeImp,75000,4
1,104.4,14,,0,0,ProfExe,5700,80437,0,HomeImp,109647,9.5
1,97.13317095,16,41.77788863,0,0,Sales,5700,77213,1,DebtCon,92661,0
0,117.6739652,15,42.46486629,0,0,Other,5700,62319,0,HomeImp,82923,4
0,92.64308456,15,41.21001247,0,0,Other,5700,71556,0,HomeImp,79538,2
0,272.2206283,25,39.89610462,0,0,Other,5700,,0,HomeImp,39052,3
1,157.0097747,28,47.41522866,0,0,ProfExe,5700,74172,0,DebtCon,79846,0
0,15.39658739,7,30.0170133,0,1,Other,5700,28116,9,DebtCon,33450,0
0,,,33.85046122,,,,5700,,,,64910,
0,48.85366706,3,38.77368596,0,0,Office,5700,,0,HomeImp,69172,1
0,266.5533944,25,43.30976454,0,0,Other,5800,,1,HomeImp,36385,2
0,261.4052186,26,42.19194156,0,0,Other,5800,,0,HomeImp,41119,2
0,300.4872058,23,38.94057536,0,0,Mgr,5800,75000,1,DebtCon,90543,18
0,307.9748816,23,39.95910877,1,0,Mgr,5800,79296,1,DebtCon,86885,19
1,83.28906275,13,30.18780539,0,0,Mgr,5800,27791,1,DebtCon,46833,3
0,126.4009836,21,43.20775979,0,0,Sales,5800,172595,0,DebtCon,250155,
0,,,34.17405555,,,,5800,,,HomeImp,34704,
0,71.76655716,4,41.28742339,0,0,Office,5800,,0,HomeImp,73804,1
0,80.13174641,17,24.14015367,0,0,Other,5800,46595,0,HomeImp,58191,5
1,36.76666667,8,,1,2,Self,5900,,1,DebtCon,28000,1
0,120.3794143,24,41.44250046,0,0,Other,5900,70973,0,HomeImp,77989,7
1,238.6,2,,0,0,Other,5900,,1,HomeImp,33100,
0,,0,12.74918065,0,0,,5900,,0,HomeImp,51189,1
0,,,27.59527352,,,ProfExe,5900,82912,,DebtCon,91175,2
1,157.9600114,27,40.62827818,2,0,Other,5900,25972,3,DebtCon,41856,2
0,118.442491,24,40.11040743,1,0,Other,5900,74187,0,HomeImp,78976,9
0,,,32.78292683,,,,5900,,,,66903,
1,250.5666667,23,,6,0,Mgr,5900,106650,4,DebtCon,,1
0,,,32.97719723,,,,6000,,,,69492,
0,149.0229081,12,37.95433691,0,0,Office,6000,95232,1,HomeImp,115977,22
1,154.1333333,26,,1,2,Office,6000,47625,4,HomeImp,85925,0.1
1,116.1,34,,1,0,Other,6000,24600,8,HomeImp,30500,4.5
1,69.3,34,,3,1,Other,6000,65000,1,,94355,26
1,122.7666667,23,,2,,Office,6000,,,HomeImp,,13
1,140.9333333,20,,0,0,Other,6000,33600,1,HomeImp,,2
1,90,13,,0,0,Other,6000,42000,2,DebtCon,58305,19
1,51.73333333,9,,0,0,Other,6000,32446,1,HomeImp,54904,2
1,136.3,6,,1,0,Other,6000,9660,3,DebtCon,35900,8
1,83.33333333,20,,0,0,Other,6000,22859,3,DebtCon,32200,4
1,218.6,34,,1,0,Mgr,6000,16878,5,,25850,1
0,343.9,47,,0,0,Other,6000,72951,1,HomeImp,80000,22.8
0,101.5,13,,,1,Other,6000,43000,,HomeImp,57460,1.6
0,105.4,18,,2,0,Other,6000,53500,3,DebtCon,64790,0.1
0,179.5666667,32,,1,0,Other,6000,69876,0,HomeImp,94394.07,0
0,222.1666667,24,,0,0,ProfExe,6000,51000,2,HomeImp,86125,6
0,122.7333333,23,,2,0,Mgr,6000,53227,0,HomeImp,68700,3
0,100.9333333,9,,,,Other,6000,,,HomeImp,43300,
0,321.6333333,13,,0,0,Office,6000,14000,1,HomeImp,61493,23
1,101.4,19,,4,0,ProfExe,6000,40000,0,HomeImp,54600,4
1,119.7,8,,3,0,Mgr,6000,18793,0,HomeImp,27750,6
1,90.3,29,,0,6,ProfExe,6000,179397,6,DebtCon,200000,5
1,129.9,22,,2,1,Mgr,6000,,1,HomeImp,95500,6
0,181.696538,32,37.28998992,0,0,Other,6000,79046,0,HomeImp,103048,0
0,,0,15.174415,0,0,,6000,,0,HomeImp,53190,0
1,,,21.93549881,,,Other,6000,,,HomeImp,43683,
0,213.5333333,19,,0,0,ProfExe,6000,129731,0,HomeImp,154113,12
0,111.3,11,,4,,Mgr,6100,48500,2,DebtCon,62500,7
0,,,,,,,6100,,,,47400,
0,129.2500896,12,36.74676624,0,0,Office,6100,91704,1,HomeImp,114799,22
0,70.69532973,18,24.76674453,0,0,Other,6100,47604,0,HomeImp,54966,5
0,303,12,,,,Other,6100,,,HomeImp,35250,
1,138.6468632,13,31.75727069,0,0,Other,6100,62751,1,HomeImp,95617,1
0,178.4896022,19,26.72002818,,,Office,6100,48300,,HomeImp,53388,9
0,153.0667831,22,40.15052706,0,1,Sales,6100,68743,0,HomeImp,65321,3
0,350.4361376,47,28.84827658,0,0,Other,6100,79636,0,HomeImp,87276,20
0,,0,13.30601308,1,0,,6100,,0,HomeImp,46830,0
0,,,28.92511742,,,ProfExe,6100,78753,,DebtCon,95433,0
0,,,28.87646306,,,ProfExe,6100,77265,,DebtCon,97944,0
0,122.244945,30,32.55254334,0,0,Sales,6200,75657,0,DebtCon,84368,4
0,135.1089303,22,39.78381813,0,0,Sales,6200,171582,0,DebtCon,245730,
0,,,34.51740452,,,,6200,,,HomeImp,33909,
0,84.63211066,18,25.35001036,0,0,Other,6200,46601,0,HomeImp,59486,5
0,210.1730647,23,34.05481124,0,0,ProfExe,6200,60354,2,HomeImp,87596,5
0,201.3344875,29,29.66171016,0,0,,6200,45356,4,DebtCon,82054,2
0,293.9587236,11,30.19763073,,,Other,6200,,,HomeImp,41657,
1,80.5,17,,,,Self,6200,,2,DebtCon,,3
0,,,25.37554416,,,,6200,,,,80078,
1,164.8,28,,1,0,Other,6200,42100,1,DebtCon,57385,8.5
0,162.9451569,23,40.31539659,0,2,Sales,6200,70793,0,HomeImp,71552,3
0,182.8787798,31,37.19944569,1,0,Other,6200,73881,0,HomeImp,98550,0
0,63.11702323,16,36.53874734,1,,,6200,45787,,DebtCon,64854,4
0,,,27.16765596,,,ProfExe,6200,75121,,DebtCon,96462,0
0,,,12.32470709,,,,6200,,,,51732,
0,212.5376432,19,20.61678366,0,0,ProfExe,6200,133882,0,HomeImp,155222,9
0,324.6868294,47,28.2855321,0,0,Other,6200,75623,0,HomeImp,89634,24
0,101.1670603,13,38.67514015,,0,Other,6200,45564,,HomeImp,61956,2
0,124.7455955,12,35.64227011,0,0,Office,6300,99469,1,HomeImp,116260,23
0,130.0666667,20,,0,0,ProfExe,6300,55000,0,DebtCon,69000,13
